,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play
167,111.4,41.7,2023-04-22 00:42:34.224,0.4755491,Goal,Chloe Kelly,Manchester City WFC,Right Foot,Normal,True,Open Play,Ground Pass,,,From Corner
168,101.8,38.8,2023-04-22 00:49:06.225,0.054932773000000004,Blocked,Khadija Monifa Shaw,Manchester City WFC,Left Foot,Normal,False,Open Play,,,,From Corner
169,106.3,49.3,2023-04-22 00:04:42.996,0.22304635,Post,Emma Stina Blackstenius,Arsenal WFC,Right Foot,Normal,False,Open Play,High Pass,,,From Corner
170,104.2,34.8,2023-04-22 00:07:43.635,0.08331805,Blocked,Laura Coombs,Manchester City WFC,Left Foot,Normal,True,Open Play,Ground Pass,,,From Corner
171,107.3,37.0,2023-04-22 00:13:10.597,0.031398043,Goal,Rafaelle Leone Carvalho Souza,Arsenal WFC,Head,Normal,False,Open Play,High Pass,,,From Corner
172,95.6,31.0,2023-04-22 00:22:10.182,0.029792977000000002,Post,Yui Hasegawa,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
173,90.1,28.4,2023-04-22 00:22:33.867,0.014165305500000001,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
174,101.4,37.2,2023-04-22 00:23:53.370,0.13888618,Saved,Lauren Hemp,Manchester City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Corner
175,106.8,18.6,2023-04-22 00:28:00.467,0.0066961553,Blocked,Frida Maanum,Arsenal WFC,Right Foot,Normal,False,Open Play,,,,From Corner
176,94.2,33.9,2023-04-22 00:33:44.872,0.027808158000000003,Off T,Chloe Kelly,Manchester City WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner
177,92.6,40.8,2023-04-22 00:38:30.031,0.018355556000000002,Off T,Alex Greenwood,Manchester City WFC,Left Foot,Half Volley,False,Open Play,,,,From Corner
